COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
3144706;MG;NOVA ERA;18000;525.41;0.474;6.9;0.878715921;1.372767396;0.456463774;0.743367082;0.806987612;0.45127695;0.234532833;0.121177829;0.025281317;0.645158965;2.818163351;0;0;0;0;1;0;1;0;0;0;1;5.1;3.214285714;7.931034483;6.666666667
4211405;SC;NOVA ERECHIM;4654;943.93;0.4446;5.2;0.848782886;1.254023448;0.035756413;0.12026535;0.945228421;0.472117617;0.375196261;0.097914543;0.105192206;0.498818048;1.995283341;0;0;0;1;0;1;0;0;1;0;0;8.8;9.642857143;10;3.333333333
4116901;PR;NOVA ESPERANÇA;27783;714.69;0.4693;9.3;0.834743624;1.10715843;-0.067781035;0.157627332;0.711077304;0.377464374;0.212064881;0.121548049;0.073833238;0.558706422;2.266065156;0;0;0;1;0;0;0;1;0;0;1;8.3;9.285714286;5.517241379;10
4116950;PR;NOVA ESPERANÇA DO SUDOESTE;5211;664.87;0.5043;9.4;0.718474741;1.308246679;-0.095711947;0.09867852;0.875467681;0.50251501;0.284917586;0.088035085;0.146526294;0.597493283;2.484430587;0;0;0;1;0;1;0;0;0;0;1;8.2;7.5;8.620689655;10
4313037;RS;NOVA ESPERANÇA DO SUL;5006;714.12;0.4591;5.4;0.860596609;1.343072584;-0.213048364;0.764204395;0.850461266;0.513289212;0.20073234;0.136439714;0.020134666;0.496713017;1.986937937;0;0;0;1;0;0;0;1;0;1;0;10;10;10;10
3532900;SP;NOVA EUROPA;10276;694.85;0.3927;7;0.875352056;1.180910891;-0.276446441;0.033838815;0.961018715;0.449069669;0.320026342;0.191922705;0.053788312;0.487190398;1.95004149;0;0;0;0;1;1;0;0;0;0;1;7.4;6.964285714;8.620689655;6.666666667
3303401;RJ;NOVA FRIBURGO;184460;880.31;0.5153;5;0.878586676;1.052409581;-0.49355506;0.395467746;0.726195632;0.343500197;0.234832839;0.147862596;0.049620685;0.704367174;3.382574304;0;0;0;0;1;0;0;1;0;0;1;10;10;10;10
3533007;SP;NOVA GRANADA;20534;729.72;0.4487;7.1;0.910313152;1.201474597;0.036846529;0.062521312;0.930831841;0.482289123;0.293736889;0.154805829;0.053476015;0.49992558;1.999702364;0;0;0;0;1;0;0;1;0;0;1;0.5;0.892857143;0;0
3533106;SP;NOVA GUATAPORANGA;2279;651.46;0.4139;11;0.97726025;1.216715097;-0.081243138;0.423020151;0.889762341;0.695994311;0.131671552;0.062096477;0.072950726;0.479807539;1.922365423;0;0;0;0;1;1;0;0;0;0;1;2.3;0.714285714;6.551724138;0
4313060;RS;NOVA HARTZ;19834;588.27;0.3518;3.3;0.848863818;1.245881326;-0.117892891;0.557514584;0.799872583;0.333523998;0.239540574;0.22680801;0.15208268;0.60881067;2.556306939;0;0;0;1;0;1;0;0;1;0;1;6.5;9.107142857;3.103448276;3.333333333
3303500;RJ;NOVA IGUAÇU;806177;549.14;0.5141;4.3;0.641542028;0.886579791;0.105221562;0.372349301;0.723978571;0.35569865;0.181761691;0.18651823;0.048154979;0.765328286;4.261271986;0;0;0;0;1;0;0;1;0;1;1;10;10;10;10
3533205;SP;NOVA INDEPENDÊNCIA;3507;531.22;0.361;7.7;0.9662046;1.234214212;0.036924198;0.114358991;0.988491651;0.454385816;0.408118081;0.125987755;0.049355929;0.490444851;1.962496115;0;0;0;0;1;0;0;1;0;1;1;5.8;5.892857143;8.620689655;0
4211454;SC;NOVA ITABERABA;4338;854.02;0.5448;8;0.7619565;1.261678553;-0.092328663;0.064140432;1.024919155;0.522699572;0.4197141;0.082505483;0.120970709;0.498887967;1.99556174;0;0;0;1;0;0;0;1;0;1;0;8.8;10;9.310344828;3.333333333
2922805;BA;NOVA ITARANA;8192;185.26;0.5603;29.5;0.520437121;1.224677151;0.243110861;0.255105923;1.047973341;0.62310178;0.113571092;0.311300469;0.09185324;0.446959755;1.808186672;0;1;0;0;0;0;0;1;0;0;1;6.3;6.964285714;8.275862069;0
5106182;MT;NOVA LACERDA;5939;419.21;0.5304;11.7;0.720683871;1.215242013;-0.009482793;0.248966816;0.905082451;0.381331864;0.353834672;0.169915915;0.063064409;0.497055486;1.9882909;0;0;1;0;0;0;1;0;0;0;0;2;2.321428571;2.413793103;0
3144805;MG;NOVA LIMA;88672;1709.89;0.6914;2.9;0.889167022;1.224048662;0.147246927;0.231837163;0.661446894;0.266394197;0.341021241;0.054031456;0.014612994;0.553197216;2.238123925;0;0;0;0;1;0;0;1;0;0;1;3.6;5.535714286;1.724137931;0
4117107;PR;NOVA LONDRINA;13461;774.72;0.4986;8.4;0.872441665;1.214067385;0.19351735;1.089890877;0.731119591;0.389377678;0.212544092;0.129197821;0.131840387;0.476324285;1.909578716;0;0;0;1;0;0;0;1;0;0;0;8;7.678571429;7.586206897;10
3533304;SP;NOVA LUZITÂNIA;3787;630.17;0.3652;11.3;0.948751039;1.115990894;1.538755659;1.867307051;0.909175484;0.621238792;0.186629806;0.101306886;0.016379457;0.499728555;1.998914809;0;0;0;0;1;0;0;1;0;1;0;6.4;7.321428571;7.931034483;0
1100338;RO;NOVA MAMORÉ;26925;366.91;0.5357;12.6;0.665044807;1.247441972;-0.179797937;0.305928043;0.785566764;0.341840791;0.187276278;0.256449694;0.072310221;0.479931532;1.922823747;1;0;0;0;0;0;0;1;0;0;1;8.9;8.928571429;8.275862069;10
5108857;MT;NOVA MARILÂNDIA;3080;545.02;0.4381;11.4;0.874229806;1.382341483;-0.604443818;0.275813393;0.849019534;0.447687509;0.30605013;0.095281896;0.141684104;0;1;0;0;1;0;0;0;0;1;0;0;1;6.4;6.964285714;5.172413793;6.666666667
